Cenario,Modelo,Especificidade,Sensitividade,Falso_Positivo
Mulheres,Random Forest,0.06666666666666667,0.9629629629629629,0.9333333333333333
Mulheres,Random Forest,0.13333333333333333,0.9629629629629629,0.8666666666666667
Mulheres,Random Forest,0.13333333333333333,0.9259259259259259,0.8666666666666667
Mulheres,Random Forest,0.13333333333333333,0.8888888888888888,0.8666666666666667
Mulheres,Random Forest,0.2,0.8888888888888888,0.8
Mulheres,Random Forest,0.2,0.8518518518518519,0.8
Mulheres,Random Forest,0.2,0.8148148148148148,0.8
Mulheres,Random Forest,0.26666666666666666,0.8148148148148148,0.7333333333333334
Mulheres,Random Forest,0.26666666666666666,0.7777777777777778,0.7333333333333334
Mulheres,Random Forest,0.3333333333333333,0.7777777777777778,0.6666666666666667
Mulheres,Random Forest,0.4,0.7777777777777778,0.6
Mulheres,Random Forest,0.4,0.7407407407407407,0.6
Mulheres,Random Forest,0.4,0.7037037037037037,0.6
Mulheres,Random Forest,0.4,0.6666666666666666,0.6
Mulheres,Random Forest,0.4666666666666667,0.6666666666666666,0.5333333333333333
Mulheres,Random Forest,0.4666666666666667,0.6296296296296297,0.5333333333333333
Mulheres,Random Forest,0.5333333333333333,0.6296296296296297,0.4666666666666667
Mulheres,Random Forest,0.5333333333333333,0.5925925925925926,0.4666666666666667
Mulheres,Random Forest,0.5333333333333333,0.5555555555555556,0.4666666666666667
Mulheres,Random Forest,0.6,0.5555555555555556,0.4
Mulheres,Random Forest,0.6666666666666666,0.5555555555555556,0.33333333333333337
Mulheres,Random Forest,0.7333333333333333,0.5555555555555556,0.2666666666666667
Mulheres,Random Forest,0.8,0.5555555555555556,0.19999999999999996
Mulheres,Random Forest,0.8666666666666667,0.5555555555555556,0.1333333333333333
Mulheres,Random Forest,0.8666666666666667,0.5185185185185185,0.1333333333333333
Mulheres,Random Forest,0.8666666666666667,0.48148148148148145,0.1333333333333333
Mulheres,Random Forest,0.8666666666666667,0.4444444444444444,0.1333333333333333
Mulheres,Random Forest,0.8666666666666667,0.4074074074074074,0.1333333333333333
Mulheres,Random Forest,0.8666666666666667,0.37037037037037035,0.1333333333333333
Mulheres,Random Forest,0.9333333333333333,0.37037037037037035,0.06666666666666665
Mulheres,Random Forest,0.9333333333333333,0.3333333333333333,0.06666666666666665
Mulheres,Random Forest,1,0.3333333333333333,0
Mulheres,Random Forest,1,0.2962962962962963,0
Mulheres,Random Forest,1,0.25925925925925924,0
Mulheres,Random Forest,1,0.2222222222222222,0
Mulheres,Random Forest,1,0.18518518518518517,0
Mulheres,Random Forest,1,0.14814814814814814,0
Mulheres,Random Forest,1,0.1111111111111111,0
Mulheres,Random Forest,1,0.07407407407407407,0
Mulheres,Random Forest,1,0.037037037037037035,0
Mulheres,Random Forest,1,0,0
Mulheres,SVM Radial,0,1,1
Mulheres,SVM Radial,0.06666666666666667,1,0.9333333333333333
Mulheres,SVM Radial,0.13333333333333333,1,0.8666666666666667
Mulheres,SVM Radial,0.2,1,0.8
Mulheres,SVM Radial,0.2,0.9629629629629629,0.8
Mulheres,SVM Radial,0.2,0.9259259259259259,0.8
Mulheres,SVM Radial,0.26666666666666666,0.9259259259259259,0.7333333333333334
Mulheres,SVM Radial,0.26666666666666666,0.8888888888888888,0.7333333333333334
Mulheres,SVM Radial,0.3333333333333333,0.8888888888888888,0.6666666666666667
Mulheres,SVM Radial,0.4,0.8888888888888888,0.6
Mulheres,SVM Radial,0.4666666666666667,0.8888888888888888,0.5333333333333333
Mulheres,SVM Radial,0.4666666666666667,0.8518518518518519,0.5333333333333333
Mulheres,SVM Radial,0.5333333333333333,0.8518518518518519,0.4666666666666667
Mulheres,SVM Radial,0.5333333333333333,0.8148148148148148,0.4666666666666667
Mulheres,SVM Radial,0.5333333333333333,0.7777777777777778,0.4666666666666667
Mulheres,SVM Radial,0.5333333333333333,0.7407407407407407,0.4666666666666667
Mulheres,SVM Radial,0.5333333333333333,0.7037037037037037,0.4666666666666667
Mulheres,SVM Radial,0.5333333333333333,0.6666666666666666,0.4666666666666667
Mulheres,SVM Radial,0.5333333333333333,0.6296296296296297,0.4666666666666667
Mulheres,SVM Radial,0.6,0.6296296296296297,0.4
Mulheres,SVM Radial,0.6,0.5925925925925926,0.4
Mulheres,SVM Radial,0.6,0.5555555555555556,0.4
Mulheres,SVM Radial,0.6,0.5185185185185185,0.4
Mulheres,SVM Radial,0.6,0.48148148148148145,0.4
Mulheres,SVM Radial,0.6,0.4444444444444444,0.4
Mulheres,SVM Radial,0.6,0.4074074074074074,0.4
Mulheres,SVM Radial,0.6,0.37037037037037035,0.4
Mulheres,SVM Radial,0.6666666666666666,0.37037037037037035,0.33333333333333337
Mulheres,SVM Radial,0.7333333333333333,0.37037037037037035,0.2666666666666667
Mulheres,SVM Radial,0.7333333333333333,0.3333333333333333,0.2666666666666667
Mulheres,SVM Radial,0.7333333333333333,0.2962962962962963,0.2666666666666667
Mulheres,SVM Radial,0.8,0.2962962962962963,0.19999999999999996
Mulheres,SVM Radial,0.8666666666666667,0.2962962962962963,0.1333333333333333
Mulheres,SVM Radial,0.9333333333333333,0.2962962962962963,0.06666666666666665
Mulheres,SVM Radial,0.9333333333333333,0.25925925925925924,0.06666666666666665
Mulheres,SVM Radial,0.9333333333333333,0.2222222222222222,0.06666666666666665
Mulheres,SVM Radial,1,0.2222222222222222,0
Mulheres,SVM Radial,1,0.18518518518518517,0
Mulheres,SVM Radial,1,0.14814814814814814,0
Mulheres,SVM Radial,1,0.1111111111111111,0
Mulheres,SVM Radial,1,0.07407407407407407,0
Mulheres,SVM Radial,1,0.037037037037037035,0
Mulheres,SVM Radial,1,0,0
Mulheres,Naive Bayes,0,1,1
Mulheres,Naive Bayes,0,0.8148148148148148,1
Mulheres,Naive Bayes,0,0.7777777777777778,1
Mulheres,Naive Bayes,0.06666666666666667,0.7777777777777778,0.9333333333333333
Mulheres,Naive Bayes,0.06666666666666667,0.7407407407407407,0.9333333333333333
Mulheres,Naive Bayes,0.06666666666666667,0.7037037037037037,0.9333333333333333
Mulheres,Naive Bayes,0.06666666666666667,0.6666666666666666,0.9333333333333333
Mulheres,Naive Bayes,0.06666666666666667,0.6296296296296297,0.9333333333333333
Mulheres,Naive Bayes,0.06666666666666667,0.5925925925925926,0.9333333333333333
Mulheres,Naive Bayes,0.13333333333333333,0.5925925925925926,0.8666666666666667
Mulheres,Naive Bayes,0.2,0.5925925925925926,0.8
Mulheres,Naive Bayes,0.26666666666666666,0.5925925925925926,0.7333333333333334
Mulheres,Naive Bayes,0.3333333333333333,0.5925925925925926,0.6666666666666667
Mulheres,Naive Bayes,0.4,0.5925925925925926,0.6
Mulheres,Naive Bayes,0.4,0.5555555555555556,0.6
Mulheres,Naive Bayes,0.4666666666666667,0.5555555555555556,0.5333333333333333
Mulheres,Naive Bayes,0.4666666666666667,0.5185185185185185,0.5333333333333333
Mulheres,Naive Bayes,0.5333333333333333,0.5185185185185185,0.4666666666666667
Mulheres,Naive Bayes,0.6,0.5185185185185185,0.4
Mulheres,Naive Bayes,0.6,0.48148148148148145,0.4
Mulheres,Naive Bayes,0.6,0.4444444444444444,0.4
Mulheres,Naive Bayes,0.6,0.4074074074074074,0.4
Mulheres,Naive Bayes,0.6,0.37037037037037035,0.4
Mulheres,Naive Bayes,0.6,0.3333333333333333,0.4
Mulheres,Naive Bayes,0.6,0.2962962962962963,0.4
Mulheres,Naive Bayes,0.6,0.25925925925925924,0.4
Mulheres,Naive Bayes,0.6,0.2222222222222222,0.4
Mulheres,Naive Bayes,0.6,0.18518518518518517,0.4
Mulheres,Naive Bayes,0.6666666666666666,0.18518518518518517,0.33333333333333337
Mulheres,Naive Bayes,0.6666666666666666,0.14814814814814814,0.33333333333333337
Mulheres,Naive Bayes,0.6666666666666666,0.1111111111111111,0.33333333333333337
Mulheres,Naive Bayes,0.7333333333333333,0.1111111111111111,0.2666666666666667
Mulheres,Naive Bayes,0.7333333333333333,0.07407407407407407,0.2666666666666667
Mulheres,Naive Bayes,0.8,0.07407407407407407,0.19999999999999996
Mulheres,Naive Bayes,0.8,0.037037037037037035,0.19999999999999996
Mulheres,Naive Bayes,0.8,0,0.19999999999999996
Mulheres,Naive Bayes,0.8666666666666667,0,0.1333333333333333
Mulheres,Naive Bayes,0.9333333333333333,0,0.06666666666666665
Mulheres,Naive Bayes,1,0,0
